1,2,3,4,5,6,7,y
1,-2.4554,2.8887,-2.9549,2.7089,-1.5378,0.39291,one
1,-2.9743,4.3614,-4.5285,3.5403,-1.7556,0.38873,one
1,-3.1678,4.806,-4.9948,3.8969,-1.9872,0.46976,one
1,-2.141,2.1321,-1.0335,-0.22092,0.4572,-0.045792,one
1,-2.4353,2.8163,-1.8345,0.3537,0.2865,-0.081109,one
1,-2.1866,1.9619,-1.2501,0.65855,-0.19374,0.036939,one
1,-2.2115,1.8699,-0.76057,-0.061024,0.29064,-0.10241,one
1,-2.8458,3.3119,-1.9908,0.38776,0.33755,-0.19241,one
1,-2.6807,2.9371,-1.5723,0.0033387,0.58587,-0.26011,one
1,-2.3538,1.7408,-0.31856,0.16394,-0.41765,0.1955,one
1,-2.9999,4.0722,-3.075,0.93026,0.39087,-0.29694,one
1,-2.7056,2.9356,-1.0848,-1.0207,1.3906,-0.49253,one
1,-3.0331,4.0759,-3.5451,2.6467,-1.5816,0.48381,one
1,-3.3803,5.2076,-5.2028,4.0565,-2.289,0.6417,one
1,-1.5082,0.83906,-0.49477,0.37143,-0.48391,0.39532,one
1,-2.7929,3.8784,-3.668,2.51,-1.2662,0.41427,one
1,-3.0141,4.604,-4.7932,3.4408,-1.6087,0.41801,one
1,-2.8695,3.6707,-3.6359,3.6042,-2.4981,0.75255,one
1,-2.5808,3.6134,-3.6574,2.5962,-1.2178,0.36366,one
1,-2.6556,3.3355,-2.7953,1.5986,-0.53745,0.10169,one
1,-1.5619,0.68613,-0.27572,1.0407,-1.2802,0.52325,one
1,-1.6427,1.3193,-1.1088,1.0638,-0.4098,-0.16263,one
1,-2.5102,2.804,-2.3464,1.7056,-0.71581,0.096561,one
1,-2.6837,2.5926,-1.1899,0.61014,-0.5042,0.19431,one
1,-2.5672,2.9295,-2.2279,1.283,-0.36117,-0.026753,one
1,-2.8375,3.8304,-3.601,2.5597,-1.0984,0.17675,one
1,-2.826,3.543,-3.2613,2.6666,-1.4061,0.30475,one
1,-3.2031,4.543,-4.1465,3.0188,-1.6007,0.41025,one
1,-1.8264,1.2316,-0.51936,0.057372,0.35375,-0.20699,one
1,-1.6346,0.79516,-0.40053,0.44981,-0.14066,0.012311,one
1,-2.3931,2.5978,-1.8725,0.79199,0.052999,-0.12052,one
1,-2.4061,2.5552,-1.9767,1.5197,-0.87193,0.24965,one
1,-2.4368,2.4419,-1.7838,1.582,-1.0566,0.30682,one
1,-2.5787,2.5763,-1.3873,0.79056,-0.5661,0.19276,one
1,-3.3241,4.8981,-4.6571,3.4196,-1.7369,0.41233,one
1,-2.0963,1.2574,-0.35093,0.91273,-1.1253,0.41819,one
1,-2.1673,1.3365,-0.30062,0.8715,-1.1889,0.46542,one
1,-2.5749,3.1295,-2.5757,1.3628,-0.38854,0.079167,one
1,-2.0503,0.78948,0.65606,0.049401,-0.71752,0.29178,one
