1,2,3,4,5,6,7,8,9,10,y
-1.4353,-3.1331,-2.4199,0.48923,1.3076,-1.0817,-0.83148,0.36107,-0.67064,-0.028525,three
-4.5599,-1.8506,-1.2198,0.28567,-1.4929,1.171,-0.83356,-0.95341,0.77437,0.019839,three
-4.4211,-1.6897,-0.70742,0.97464,-1.7106,0.77442,-1.0532,-1.7624,0.10763,-0.103,three
-20.1847,-0.0099622,-0.073356,0.038085,0.042197,-0.04711,0.011687,0.026372,-0.025685,-0.0028271,three
-5.4972,0.39235,0.26761,0.003205,1.2126,0.71688,-1.7308,-0.92357,-0.18446,-0.11953,three
-6.2608,0.29535,0.75616,0.50251,1.0743,0.25832,-1.254,-0.4225,-0.040893,-0.10956,three
-16.9479,0.84158,-1.4587,0.60612,1.7384,-0.38188,-1.1134,-0.65993,-0.35645,-0.040167,three
-19.1338,0.67552,-0.67536,0.60884,0.94423,-0.42321,-0.61866,-0.53559,-0.47257,-0.095409,three
-14.9933,0.61138,-1.8696,1.4435,1.9322,-1.1822,-1.1292,-0.39236,-0.43353,-0.078788,three
-16.2956,0.6071,-1.3797,0.89557,1.6282,-0.71193,-0.98665,-0.3577,-0.45769,-0.12271,three
-16.2495,0.76956,-1.3481,0.9652,1.5506,-0.90754,-1.2023,-0.54249,-0.38198,-0.05639,three
-11.7071,0.0081284,-0.046751,-0.032725,0.039749,0.04579,-0.015416,-0.033298,-0.0012585,0.0072923,three
-7.9121,1.0367,-3.4805,-0.13187,1.2998,-1.0335,-0.86586,-0.24834,-0.21708,-0.030053,three
-4.7007,0.96441,-0.95452,1.5623,0.83011,-0.82776,-1.0046,-1.0156,-0.50369,-0.16708,three
-3.6059,0.91972,-1.5508,1.5299,0.47781,-0.46076,-1.5823,-1.3159,-0.082132,-0.15083,three
-2.2653,0.77761,-0.24468,1.5026,1.1016,-0.9394,-0.97628,-0.14317,-0.081145,-0.098762,three
-0.64809,1.2614,0.021923,1.4289,1.7563,-0.33263,-0.94158,-0.15234,-0.0065909,-0.076488,three
0.25961,1.4258,0.73971,1.464,1.9891,-0.048258,-1.2658,-0.27713,0.10422,-0.071925,three
1.8964,0.62314,0.13797,1.2291,0.85587,-0.34883,-0.70186,-0.2517,0.005723,-0.078298,three
0.43082,1.2966,0.022167,1.5979,1.6742,-0.53301,-1.1715,-0.28165,0.11522,-0.079314,three
-9.887,0.75048,-0.37818,0.79247,1.7103,0.0061121,-0.93495,-0.18127,0.1449,-0.039027,three
-8.7833,0.59661,-0.20795,0.8599,1.241,-0.15765,-0.77713,-0.14335,0.1047,-0.084598,three
-9.8096,0.65699,-0.69199,0.67556,1.8592,0.12917,-1.022,-0.40185,0.069888,-0.021898,three
-9.0157,0.83105,-0.10349,0.69312,1.4945,0.16996,-0.94784,-0.43535,0.010121,-0.058987,three
-8.7971,0.62546,-0.38804,0.81632,1.5158,-0.22036,-0.86922,-0.081856,0.10602,-0.076688,three
-8.3471,0.60386,-2.1567,0.63107,1.606,-0.21963,-0.54998,-0.67251,-0.52255,-0.098637,three
-16.5965,0.0014021,-0.010268,-0.0063013,0.0070754,0.010169,-0.0078904,-0.0053173,-0.0046866,0.00028946,three
-15.1174,-0.066049,-0.10787,-0.10573,0.085903,0.16993,-0.083876,-0.02039,-0.021801,-0.0077383,three
-15.572,-0.056037,0.040162,0.042802,-0.06694,0.073741,-0.068177,-0.069034,0.0031455,-0.015141,three
